id,x,y,name
38539626,7.1665,14.4775,NE3332258
38597908,6.5465,14.4525,NE3345427
38749866,7.6315,14.3875,NE3380070
38785311,9.7915,14.3725,NE3388428
38819461,5.4615,14.3575,NE3395475
38924025,3.0315,14.3125,NE3418634
38945242,-7.6235,14.3025,ML3347271
38978454,-16.7035,14.2875,SN0345701
39169231,2.8665,14.2075,NE3473751
39275629,9.1965,14.1625,NE3498719
39315636,34.0665,14.1475,SD4205956
39368020,4.0915,14.1225,NE3518788
39368610,7.0415,14.1225,NE3519378
39403054,4.1015,14.1075,NE3526695
39445121,39.2315,14.0925,ET0059747
39496798,5.5515,14.0675,NE3548053
39612822,1.3265,14.0175,NE3573546
39677836,34.1515,13.9925,SD4293205
39678315,36.5465,13.9925,ET0076990
39831704,-15.3185,13.9225,SN0416508
39842557,38.9465,13.9225,ET0090201
39923878,35.1815,13.8875,SD4353211
39999318,1.4565,13.8525,NE3659946
40024221,8.4915,13.8425,NE3666416
40058027,1.3115,13.8275,NE3672692
40161898,-7.9835,13.7825,ML3541000
40242615,-15.2285,13.7475,GM0000779
40339889,1.4215,13.7075,NE3731322
40552923,8.1865,13.6175,NE3770934
40565769,13.5865,13.6125,NG0013186
40573610,-6.0285,13.6075,ML3604612
40679646,-5.3735,13.5625,ML3620486
40729487,8.4465,13.5425,NE3801393
40814322,20.5915,13.5075,TD2814224
40876163,35.4415,13.4825,SD4584545
41068135,-6.4385,13.3975,ML3677068
41070419,4.9815,13.3975,NG0039278
41230853,39.3265,13.3325,ET0205120
41240951,30.8715,13.3275,SD4670904
41259172,4.1365,13.3175,NG0052821
41294324,3.0715,13.3025,NE3887411
41295505,8.9765,13.3025,NE3888009
41360636,39.2065,13.2775,ET0216938
41377604,5.6415,13.2675,NG0064019
41425597,8.8365,13.2475,NE3903723
41507919,6.0415,13.2125,NG0077983
41520464,9.5365,13.2075,NE3914318
41591163,7.1215,13.1775,NE3921489
41603962,11.7265,13.1725,NG0089419
41627851,12.3765,13.1625,NE3925656
41768208,1.1965,13.1025,NE3938553
41769083,5.5715,13.1025,NG0108746
41782446,12.9515,13.0975,NG0111335
41798395,33.2565,13.0925,SD4803960
41802805,-4.1335,13.0875,BF0235172
41803873,1.2065,13.0875,NE3941726
41853306,10.5865,13.0675,NG0120510
41876882,9.6065,13.0575,NE3948567
41888914,10.3165,13.0525,NG0125449
41959671,6.9415,13.0225,NE3954753
42030418,3.3765,12.9925,NE3959858
42126543,7.2665,12.9525,NG0159775
42187075,11.6265,12.9275,NG0169355
42209174,2.8515,12.9175,NE3971882
42311037,35.0015,12.8775,SD4927088
42330611,13.4115,12.8675,NG0191671
42371343,37.7865,12.8525,ET0313029
42386728,-4.8085,12.8425,ML3842369
42514157,33.9265,12.7925,SD4975617
42521358,10.0315,12.7875,NG0222271
